raw_id;sample_code;sample_date;parcel_name;parameter_name;method;parameter_value;interpretation;parameter_unit;recommendations;loaded_at;source_file
141;2511792;29/10/2025;Faldo - 2 Adjacente;Sódio (%);ISO 23470;4.5;-;% Na;;;raw_soil_fq.csv
142;2511792;29/10/2025;Faldo - 2 Adjacente;Temperatura de medição do pH;MI;23.1;-;°C;;;raw_soil_fq.csv
143;2511792;29/10/2025;Faldo - 2 Adjacente;Textura do Campo;POS.027 (Feel method);7;Franco-Arenosa; ;;;raw_soil_fq.csv
144;2511792;29/10/2025;Faldo - 2 Adjacente;Zinco;POS.011 (Extração em Mehlich 3);0.25;Baixo;mg/kg Zn;1-3 kg/ha Zn;;raw_soil_fq.csv
145;2511793;29/10/2025;Faldo - 3 Green;Acidez de troca;MI;0;-;%;;;raw_soil_fq.csv
146;2511793;29/10/2025;Faldo - 3 Green;Azoto total ;POS.008 (Método de Dumas);0.09;Baixo;% N;1,2-1,6 kg/100m² N;;raw_soil_fq.csv
147;2511793;29/10/2025;Faldo - 3 Green;Boro;POS.011 (Extração em Mehlich 3);0.3;Baixo;mg/kg B;1-3 kg/ha B;;raw_soil_fq.csv
148;2511793;29/10/2025;Faldo - 3 Green;Calcário ativo;POS.016 (Método de Drouineau);0;Baixo;% CaCO₃ (m/m);;;raw_soil_fq.csv
149;2511793;29/10/2025;Faldo - 3 Green;Calcário total;EN 15936;0;Não calcário;% CaCO₃ (m/m);;;raw_soil_fq.csv
150;2511793;29/10/2025;Faldo - 3 Green;Cálcio (%);ISO 23470;72.5;Médio;% Ca;;;raw_soil_fq.csv
151;2511793;29/10/2025;Faldo - 3 Green;Cálcio (CaO);POS.011 (Extração em Mehlich 3);919;Alto;mg/kg CaO;;;raw_soil_fq.csv
152;2511793;29/10/2025;Faldo - 3 Green;Capacidade de troca catiónica efetiva ;ISO 23470;3.37;Muito baixo;cmol⁺/kg;;;raw_soil_fq.csv
153;2511793;29/10/2025;Faldo - 3 Green;Cobalto;POS.011 (Extração em Mehlich 3);0.08;Baixo;mg/kg Co;Aplicar por via foliar;;raw_soil_fq.csv
154;2511793;29/10/2025;Faldo - 3 Green;Cobre;POS.011 (Extração em Mehlich 3);0.78;Alto;mg/kg Cu;-;;raw_soil_fq.csv
155;2511793;29/10/2025;Faldo - 3 Green;Condutividade Elétrica (a 25ºC);ISO 11265;0.11;Solo sem efeitos salinos;mS/cm;-;;raw_soil_fq.csv
156;2511793;29/10/2025;Faldo - 3 Green;Enxofre;POS.011 (Extração em Mehlich 3);38.6;Excesso;mg/kg S;-;;raw_soil_fq.csv
157;2511793;29/10/2025;Faldo - 3 Green;Ferro;POS.011 (Extração em Mehlich 3);79.8;Alto;mg/kg Fe;-;;raw_soil_fq.csv
158;2511793;29/10/2025;Faldo - 3 Green;Fósforo (P₂O₅);POS.011 (Extração em Mehlich 3);59.5;Baixo;mg/kg P₂O₅;0,8 kg/100m² P₂O₅;;raw_soil_fq.csv
159;2511793;29/10/2025;Faldo - 3 Green;Grau de Saturação em Bases (GSB);ISO 23470;100;Muito alto;%;;;raw_soil_fq.csv
160;2511793;29/10/2025;Faldo - 3 Green;Magnésio (%);ISO 23470;23;Alto;% Mg;;;raw_soil_fq.csv
161;2511793;29/10/2025;Faldo - 3 Green;Magnésio (MgO);POS.011 (Extração em Mehlich 3);193;Alto;mg/kg MgO;0,25 kg/100m² MgO;;raw_soil_fq.csv
162;2511793;29/10/2025;Faldo - 3 Green;Manganês;POS.011 (Extração em Mehlich 3);4.1;Muito baixo;mg/kg Mn;;;raw_soil_fq.csv
